,names,prices,frontCamera
0,"SAMSUNG Galaxy A12 (White, 128 GB)","₹14,770",
1,"SAMSUNG Galaxy A12 (Black, 64 GB)","₹13,999", 8MP Front Camera
2,"SAMSUNG Galaxy A12 (Blue, 64 GB)","₹13,999", 8MP Front Camera
3,"SAMSUNG Galaxy A12 (White, 64 GB)","₹13,999", 8MP Front Camera
4,"SAMSUNG Galaxy A12 (Black, 128 GB)","₹14,845", 8MP Front Camera
5,"SAMSUNG Galaxy A12 (Black, 128 GB)","₹14,590",
6,"SAMSUNG Galaxy A12 (Blue, 128 GB)","₹16,499", 8MP Front Camera
7,"SAMSUNG Galaxy A12 (White, 64 GB)","₹12,499", 8MP Front Camera
8,"SAMSUNG Galaxy A12 (Black, 128 GB)","₹16,499", 8MP Front Camera
9,"SAMSUNG Galaxy A12 (Blue, 64 GB)","₹12,699", 8MP Front Camera
10,"SAMSUNG Galaxy A12 (Blue, 128 GB)","₹14,690",
11,"SAMSUNG Galaxy A12 (Black, 64 GB)","₹12,390", 8MP Front Camera
12,"SAMSUNG Galaxy A12 (White, 128 GB)","₹16,499", 8MP Front Camera
13,"SAMSUNG Galaxy A12 (Blue, 128 GB)","₹15,949", 8MP Front Camera
14,"SAMSUNG Galaxy A12 (White, 128 GB)","₹15,890", 8MP Front Camera
15,"SAMSUNG Galaxy A12 (White, 128 GB)","₹14,995", 8MP Front Camera
16,"SAMSUNG Galaxy A12 (Black, 128 GB)","₹14,999", 8MP Front Camera
17,"SAMSUNG Galaxy A12 (Blue, 128 GB)","₹14,028", 8MP Front Camera
18,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹11,499", 8MP Front Camera
19,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹11,499", 8MP Front Camera
20,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹11,499", 8MP Front Camera
21,"SAMSUNG Galaxy M12 (Black, 64 GB)","₹11,163",
22,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","₹12,499", 8MP Front Camera
23,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)","₹12,499", 8MP Front Camera
